Designator,Footprint,Quantity,Value,LCSC Part #
"R409, R505, R506",0402,3,10K/1%,
"R42, R43",0402,2,5k1,RC0402FR-075K1L
"R44, R45, R54, R55, R60, R66, R67, R68, R69, R70, R76, R78",0402,12,2k2,RC0402FR-132K2L
"R46, R53, R65, R71, R74",0402,5,10k,RC0402FR-1310KL
"R48, R52, R58, R59",0402,4,100k,RC0402FR-13100KL
"R50, R51",0402,2,100R,RC0402FR-13100RL
"R56, R57",0402,2,1k,
"R61, R62, R63, R64",0402,4,47R,RC0402FR-1347RL
R72,0402,1,20k,RC0402FR-1320KL
R73,0402,1,470,RC0402FR-07470RL
"R75, R77",0402,2,4R7,RC0402FR-074R7L
R80,0603,1,0R33,KDV06FR330ET
R82,0603,1,0R15,KDV06FR150ET
R83,0402,1,49k9,RC0402FR-1349K9L
R84,0402,1,59k,RC0402FR-1359KL
R85,0402,1,24k3,RC0402FR-1324K3L
R86,R_0402,1,47k +-1%,
R87,R_0402,1,390k,
"R88, R89",R_0402,2,51r,
R90,R_0402,1,5r1,
R91,R_0402,1,48k7,
"RN1, RN2, RN3, RN4",R_Array_Convex_4x0402,4,33R,YC124-JR-1333RL
"RN5, RN6",R_Array_Convex_4x0402,2,10k,YC124-JR-0710KL
SW1,SW_Tactile_SPST_Angled_TC-1109DE,1,RST,TC-1109DE-B-F
"SW401, SW402",SW_PUSH_6mm,2,SW_Push,
TP1,TestPoint_Pad_2.5x2.5mm,1,TestPoint,
TP2,TestPoint_Pad_D1.0mm,1,ALSB,
U1,ST_144_ADI,1,ADV7623BSTZ,
"U12, U13, U15, U16, U501, U503",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,6,ULC0524P,
U14,QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm,1,RTL8111H-CG-RH,
U18,SOT-23-6,1,TPD3S014,TPD3S014DBVR
U19,Cypress_QFN-56-1EP_8x8mm_P0.5mm_EP6.22x6.22mm_ThermalVias,1,CY7C68013A-56LTX,CY7C68013A-56LTXC
U20,TSSOP-8_4.4x3mm_P0.65mm,1,CAT24M01X,CAT24M01YI−GT3
U21,TSSOP-8_4.4x3mm_P0.65mm,1,BL24C256A-SFRC,BL24C256A-SFRC
U22,BGA-121_9.0x9.0mm_Layout11x11_P0.8mm_Ball0.4mm_Pad0.35mm_NSMD,1,ICE40HX8K-BG121,ICE40HX8K-BG121
U23,SOT-143,1,APX811-40UG-7,APX811-40UG-7
U24,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TLV75533PDRVR,TLV75533PDRVR
U25,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TLV73312PQDRVR,TLV73312PQDRVRQ1
"U26, U27, U28, U29, U30, U31, U32, U33, U34",SOT-363_SC-70-6,9,SN74LVC1T45DCKR,SN74LVC1T45DCKR
U3,DWP20_3P81X2P79,1,TPPM0110DWPR,
U35,TSSOP-16_4.4x5mm_P0.65mm,1,PCA6408APW,PCA6408APW
U36,SOT-23-5,1,TPS73101DBV,TPS73101DBVR
U37,SOT-23-6,1,DAC081C081CIMK,DAC081C081CIMK/NOPB
U38,VSSOP-10_3x3mm_P0.5mm,1,INA233,INA233AIDGSR
U4,VAN0019A-MFG,1,TPS548A23VANR,
U403,TSOT-23-6,1,AP63200WU,
"U43, U44",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,2,TPAZ1023-04F,
U506,IC_LM73100RPWR,1,LM73100RPWR,
U507,DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,1,AT25DN512C-MAHF-T,
U508,IC_TPS65987DDHRSHR,1,TPS65988DHRSHR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24M,JF4024M00009T8188070
Y3,CRYSTAL_ABM8G_ABR,1,ABM8G-28.63636MHZ-18-D2Y-T,
